county,gdp_usd,gdp_rank
Alameda,130465391,7
Alpine,94933,57
Amador,1612883,44
Butte,8094801,30
Calaveras,1368814,46
Colusa,1194522,47
Contra Costa,73533985,11
Del Norte,721464,54
El Dorado,7378023,32
Fresno,41821044,14
Glenn,1092967,49
Humboldt,5170257,35
Imperial,8412312,29
Inyo,1184420,48
Kern,47528806,13
Kings,6074335,33
Lake,1877770,42
Lassen,1080110,50
Los Angeles,711874201,1
Madera,5948983,34
Marin,28590581,16
Mariposa,752739,53
Mendocino,3307837,38
Merced,8986693,28
Modoc,460062,55
Mono,1048415,51
Monterey,26112268,20
Napa,10062765,27
Nevada,4063224,36
Orange,238228949,3
Placer,22716449,21
Plumas,867066,52
Riverside,83850304,10
Sacramento,86452222,9
San Benito,2418096,40
San Bernardino,87551000,8
San Diego,224954460,4
San Francisco,200484675,5
San Joaquin,30175157,15
San Luis Obispo,15899992,24
San Mateo,142240790,6
Santa Barbara,28531154,17
Santa Clara,382333994,2
Santa Cruz,14951016,25
Shasta,7496153,31
Sierra,82035,58
Siskiyou,1535958,45
Solano,26796029,19
Sonoma,28339324,18
Stanislaus,21953592,22
Sutter,3605674,37
Tehama,1871437,43
Trinity,359132,56
Tulare,17361025,23
Tuolumne,2228425,41
Ventura,48642160,12
Yolo,14144241,26
Yuba,3012115,39